Company,Role,Focus,Years,Company URL
Crescendo Collective,UX/UI & Digital Designer,Creation of top notch websites for market leaders. ,2025-2026,https://www.crescendocollective.com/
AdSomeNoise,Web Designer & Developer,Developing high-end digital campaigns and interactive web experiences.,2021 - 2025,https://adsomenoise.com/
Traject,Digital & Graphic Designer,Managing brand identitie and creating complex layout designs for print and digital.,2019 - 2020,https://traject.be/
Lannoo Graphics,Graphic Designer,Designed commercial stationery products for major licensed brands including Smiley and Need for Speed.,2018-2019,https://www.lannoographics.com/
Mobilt/Sentinel,Digital & Graphic Designer,Creation of high-end digital assets for communication purposes. ,2018,https://sentinel-lock.com/
